series_id,series_name,date,value,footnotes,is_outlier,value_suspect,year,quarter
JTS000000000000000HIL,Total nonfarm: hires,2021-07-01,6720,,False,False,2021,3
JTS000000000000000HIL,Total nonfarm: hires,2021-08-01,6394,,False,False,2021,3
JTS000000000000000HIL,Total nonfarm: hires,2021-09-01,6632,,False,False,2021,3
JTS000000000000000HIL,Total nonfarm: hires,2021-10-01,6678,,False,False,2021,4
JTS000000000000000HIL,Total nonfarm: hires,2021-11-01,6911,,False,False,2021,4
JTS000000000000000HIL,Total nonfarm: hires,2021-12-01,6686,,False,False,2021,4
JTS000000000000000HIL,Total nonfarm: hires,2022-01-01,6431,,False,False,2022,1
JTS000000000000000HIL,Total nonfarm: hires,2022-02-01,6801,,False,False,2022,1
JTS000000000000000HIL,Total nonfarm: hires,2022-03-01,6619,,False,False,2022,1
JTS000000000000000HIL,Total nonfarm: hires,2022-04-01,6528,,False,False,2022,2
JTS000000000000000HIL,Total nonfarm: hires,2022-05-01,6440,,False,False,2022,2
JTS000000000000000HIL,Total nonfarm: hires,2022-06-01,6487,,False,False,2022,2
JTS000000000000000HIL,Total nonfarm: hires,2022-07-01,6478,,False,False,2022,3
JTS000000000000000HIL,Total nonfarm: hires,2022-08-01,6448,,False,False,2022,3
JTS000000000000000HIL,Total nonfarm: hires,2022-09-01,6201,,False,False,2022,3
JTS000000000000000HIL,Total nonfarm: hires,2022-10-01,6151,,False,False,2022,4
JTS000000000000000HIL,Total nonfarm: hires,2022-11-01,6180,,False,False,2022,4
JTS000000000000000HIL,Total nonfarm: hires,2022-12-01,6163,,False,False,2022,4
JTS000000000000000HIL,Total nonfarm: hires,2023-01-01,6370,,False,False,2023,1
JTS000000000000000HIL,Total nonfarm: hires,2023-02-01,5989,,False,False,2023,1
JTS000000000000000HIL,Total nonfarm: hires,2023-03-01,5925,,False,False,2023,1
JTS000000000000000HIL,Total nonfarm: hires,2023-04-01,5876,,False,False,2023,2
JTS000000000000000HIL,Total nonfarm: hires,2023-05-01,6119,,False,False,2023,2
JTS000000000000000HIL,Total nonfarm: hires,2023-06-01,5928,,False,False,2023,2
JTS000000000000000HIL,Total nonfarm: hires,2023-07-01,5672,,False,False,2023,3
JTS000000000000000HIL,Total nonfarm: hires,2023-08-01,5846,,False,False,2023,3
JTS000000000000000HIL,Total nonfarm: hires,2023-09-01,5773,,False,False,2023,3
JTS000000000000000HIL,Total nonfarm: hires,2023-10-01,5765,,False,False,2023,4
JTS000000000000000HIL,Total nonfarm: hires,2023-11-01,5535,,False,False,2023,4
JTS000000000000000HIL,Total nonfarm: hires,2023-12-01,5583,,False,False,2023,4
JTS000000000000000HIL,Total nonfarm: hires,2024-01-01,5591,,False,False,2024,1
JTS000000000000000HIL,Total nonfarm: hires,2024-02-01,5618,,False,False,2024,1
JTS000000000000000HIL,Total nonfarm: hires,2024-03-01,5452,,False,False,2024,1
JTS000000000000000HIL,Total nonfarm: hires,2024-04-01,5469,,False,False,2024,2
JTS000000000000000HIL,Total nonfarm: hires,2024-05-01,5492,,False,False,2024,2
JTS000000000000000HIL,Total nonfarm: hires,2024-06-01,5137,,False,False,2024,2
JTS000000000000000HIL,Total nonfarm: hires,2024-07-01,5430,,False,False,2024,3
JTS000000000000000HIL,Total nonfarm: hires,2024-08-01,5204,,False,False,2024,3
JTS000000000000000HIL,Total nonfarm: hires,2024-09-01,5427,,False,False,2024,3
JTS000000000000000HIL,Total nonfarm: hires,2024-10-01,5228,,False,False,2024,4
JTS000000000000000HIL,Total nonfarm: hires,2024-11-01,5155,,False,False,2024,4
JTS000000000000000HIL,Total nonfarm: hires,2024-12-01,5292,,False,False,2024,4
JTS000000000000000HIL,Total nonfarm: hires,2025-01-01,5238,,False,False,2025,1
JTS000000000000000HIL,Total nonfarm: hires,2025-02-01,5236,,False,False,2025,1
JTS000000000000000HIL,Total nonfarm: hires,2025-03-01,5333,,False,False,2025,1
JTS000000000000000HIL,Total nonfarm: hires,2025-04-01,5391,,False,False,2025,2
JTS000000000000000HIL,Total nonfarm: hires,2025-05-01,5328,,False,False,2025,2
JTS000000000000000HIL,Total nonfarm: hires,2025-06-01,5327,,False,False,2025,2
JTS000000000000000HIL,Total nonfarm: hires,2025-07-01,5225,,False,False,2025,3
JTS000000000000000HIL,Total nonfarm: hires,2025-08-01,5145,,False,False,2025,3
JTS000000000000000HIL,Total nonfarm: hires,2025-09-01,5244,,False,False,2025,3
JTS000000000000000HIL,Total nonfarm: hires,2025-10-01,5180,,False,False,2025,4
JTS000000000000000HIL,Total nonfarm: hires,2025-11-01,5019,,False,False,2025,4
JTS000000000000000HIL,Total nonfarm: hires,2025-12-01,5272,,False,False,2025,4
JTS000000000000000HIL,Total nonfarm: hires,2026-01-01,5347,,False,False,2026,1
JTS000000000000000HIL,Total nonfarm: hires,2026-02-01,4899,,False,False,2026,1
JTS000000000000000HIL,Total nonfarm: hires,2026-03-01,5535,,False,False,2026,1
JTS000000000000000HIL,Total nonfarm: hires,2026-04-01,5215,,False,False,2026,2
JTS000000000000000HIL,Total nonfarm: hires,2026-05-01,5252,,False,False,2026,2
JTS000000000000000HIL,Total nonfarm: hires,2026-06-01,5332,,False,False,2026,2
